Program,Female,Male
Biology,61.54%,38.46%
Biology: Computational and Integrative,45.50%,54.50%
Business and Science,43.75%,56.25%
Chemistry,38.99%,61.01%
Childhood Studies,70.64%,29.36%
Computer Science,29.32%,70.68%
Creative Writing,66.16%,33.84%
Criminal Justice,61.41%,38.59%
Criminal Justice/Public Administration,40.00%,60.00%
Data Science,33.59%,66.41%
Emerging Media,52.00%,48.00%
English,60.81%,39.19%
Forensic Science,70.29%,29.71%
History,53.98%,46.02%
Liberal Studies,57.62%,42.38%
Mathematical Sciences,33.33%,66.67%
Prevention Science,77.40%,22.60%
Psychology,78.32%,21.68%
Public Administration,55.81%,44.19%
Public Affairs,55.60%,44.40%
Teacher Education,73.56%,26.44%
Teacher Education - Spanish,76.74%,23.26%
Grand Total,51.79%,48.21%
