Program,Age,Admissions Status,Status
Biology,64,Started App,Did Not A/C
Biology,64,Admit-Coming,A/C
Biology,50,Admit-Withdrawn,Did Not A/C
Biology,49,Started App,Did Not A/C
Biology,49,Started App,Did Not A/C
Biology,46,Admit-Coming,A/C
Biology,46,Deferred to Spring,Did Not A/C
Biology,41,Admit-Not Coming,Did Not A/C
Biology,41,Deferred to Fall,Did Not A/C
Biology,41,Deferred to Spring,Did Not A/C
Biology,41,Withdrawn,Did Not A/C
Biology,40,Started App,Did Not A/C
Biology,39,Admit-Coming,A/C
Biology,39,Admit-Not Coming,Did Not A/C
Biology,38,Admit-Coming,A/C
Biology,38,Admit-Withdrawn,Did Not A/C
Biology,38,Admit-Withdrawn,Did Not A/C
Biology,37,Admit-Coming,A/C
Biology,37,Withdrawn,Did Not A/C
Biology,37,Denied,Did Not A/C
Biology,36,Admit-Not Coming,Did Not A/C
Biology,36,Admit-Not Coming,Did Not A/C
Biology,36,Withdrawn,Did Not A/C
Biology,36,Withdrawn,Did Not A/C
Biology,36,Denied,Did Not A/C
Biology,35,Started App,Did Not A/C
Biology,35,Submitted App,Did Not A/C
Biology,35,Admit-Not Coming,Did Not A/C
Biology,35,Admit-Withdrawn,Did Not A/C
Biology,35,Deferred to Fall,Did Not A/C
Biology,34,Started App,Did Not A/C
Biology,34,Admit-Coming,A/C
Biology,34,Admit-Not Coming,Did Not A/C
Biology,34,Admit-Withdrawn,Did Not A/C
Biology,34,Admit-Withdrawn,Did Not A/C
Biology,34,Withdrawn,Did Not A/C
Biology,33,Started App,Did Not A/C
Biology,33,Started App,Did Not A/C
Biology,33,Withdrawn,Did Not A/C
Biology,33,Withdrawn,Did Not A/C
Biology,32,Started App,Did Not A/C
Biology,32,Started App,Did Not A/C
Biology,32,Admit-Coming,A/C
Biology,32,Admit-Not Coming,Did Not A/C
Biology,32,Admit-Not Coming,Did Not A/C
Biology,32,Admit-Not Coming,Did Not A/C
Biology,32,Deferred to Fall,Did Not A/C
Biology,32,Deferred to Spring,Did Not A/C
Biology,32,Denied,Did Not A/C
Biology,32,Denied,Did Not A/C
Biology,32,Denied,Did Not A/C
Biology,31,Admit-Coming,A/C
Biology,31,Admit-Not Coming,Did Not A/C
Biology,31,Admit-Not Coming,Did Not A/C
Biology,31,Deferred to Fall,Did Not A/C
Biology,31,Deferred to Fall,Did Not A/C
Biology,31,Withdrawn,Did Not A/C
Biology,31,Withdrawn,Did Not A/C
Biology,30,Started App,Did Not A/C
Biology,30,Admit,Did Not A/C
Biology,30,Admit-Coming,A/C
Biology,30,Admit-Not Coming,Did Not A/C
Biology,30,Admit-Not Coming,Did Not A/C
Biology,30,Admit-Not Coming,Did Not A/C
Biology,30,Admit-Withdrawn,Did Not A/C
Biology,30,Admit-Withdrawn,Did Not A/C
Biology,30,Admit-Withdrawn,Did Not A/C
Biology,30,Admit-Withdrawn,Did Not A/C
Biology,30,Deferred to Spring,Did Not A/C
Biology,30,Denied,Did Not A/C
Biology,29,Admit-Coming,A/C
Biology,29,Admit-Not Coming,Did Not A/C
Biology,29,Admit-Not Coming,Did Not A/C
Biology,29,Admit-Not Coming,Did Not A/C
Biology,29,Admit-Withdrawn,Did Not A/C
Biology,29,Admit-Withdrawn,Did Not A/C
Biology,29,Admit-Withdrawn,Did Not A/C
Biology,29,Admit-Withdrawn,Did Not A/C
Biology,29,Deferred to Fall,Did Not A/C
Biology,29,Deferred to Fall,Did Not A/C
Biology,29,Deferred to Spring,Did Not A/C
Biology,29,Deferred to Spring,Did Not A/C
Biology,29,Deferred to Spring,Did Not A/C
Biology,29,Withdrawn,Did Not A/C
Biology,29,Withdrawn,Did Not A/C
Biology,29,Denied,Did Not A/C
Biology,28,Started App,Did Not A/C
Biology,28,Admit-Coming,A/C
Biology,28,Admit-Coming,A/C
Biology,28,Admit-Coming,A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Not Coming,Did Not A/C
Biology,28,Admit-Withdrawn,Did Not A/C
Biology,28,Admit-Withdrawn,Did Not A/C
Biology,28,Admit-Withdrawn,Did Not A/C
Biology,28,Admit-Withdrawn,Did Not A/C
Biology,28,Admit-Withdrawn,Did Not A/C
Biology,28,Deferred to Fall,Did Not A/C
Biology,28,Withdrawn,Did Not A/C
Biology,28,Withdrawn,Did Not A/C
Biology,28,Withdrawn,Did Not A/C
Biology,28,Denied,Did Not A/C
Biology,28,Denied,Did Not A/C
Biology,28,Denied,Did Not A/C
Biology,28,Started App,Did Not A/C
Biology,28,Started App,Did Not A/C
Biology,27,Started App,Did Not A/C
Biology,27,Started App,Did Not A/C
Biology,27,Started App,Did Not A/C
Biology,27,Admit-Coming,A/C
Biology,27,Admit-Coming,A/C
Biology,27,Admit-Coming,A/C
Biology,27,Admit-Coming,A/C
Biology,27,Admit-Coming,A/C
Biology,27,Admit-Not Coming,Did Not A/C
Biology,27,Admit-Not Coming,Did Not A/C
Biology,27,Admit-Not Coming,Did Not A/C
Biology,27,Admit-Not Coming,Did Not A/C
Biology,27,Admit-Withdrawn,Did Not A/C
Biology,27,Admit-Withdrawn,Did Not A/C
Biology,27,Admit-Withdrawn,Did Not A/C
Biology,27,Admit-Withdrawn,Did Not A/C
