,Admissions Status →,Started App,Submitted App,Complete App,In Review,Admit,Admit-Coming,Admit-Not Coming,Admit-Withdrawn,Deferred to Spring,Withdrawn,Conditional Admission,Alternative Admission,Denied,Total,
,Program Selection: Program Selection Name  ↑,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,
,Biology: Computational and Integrative (MS),9,3,12,0,1,5,0,0,0,0,0,0,1,31,
,Biology: Computational and Integrative (PHD),34,11,44,1,1,1,0,0,0,1,0,1,1,95,
,Biology (MS),19,3,13,0,4,7,0,0,0,1,0,0,2,49,
,Biology (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Bus and Sci - Comp and Info Sciences - Technology Management Cert (NOD) Camden,2,2,0,0,0,0,0,0,0,0,0,0,0,4,
,Business and Science - Computer and Information Sciences (MBS) Camden,8,2,2,0,3,2,0,0,0,0,0,0,1,18,
,Business and Science - Computer and Information Sciences (NOD) Camden,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry (MS),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry - Accelerated BA/MS (MS),1,1,0,0,0,0,0,0,0,0,0,0,0,2,
,Chemistry and Molecular Technology (MS),5,4,7,0,2,6,0,0,0,1,0,0,1,26,
,Childhood Studies (MA),4,1,4,0,0,0,0,0,0,0,0,0,0,9,
,Childhood Studies (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Childhood Studies (PHD),6,2,0,0,9,4,0,0,0,0,0,5,7,33,
,Computer Science: Scientific Computing (MS),47,56,78,0,12,5,0,0,0,0,0,0,16,214,
,Creative Writing (MFA) Camden,36,18,170,0,0,0,1,0,0,0,0,0,1,226,
,Criminal Justice (MA),14,6,0,0,1,2,0,0,1,0,1,0,0,25,
,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),3,1,0,0,0,0,0,0,0,0,0,0,0,4,
,Data Science (MS),43,34,34,0,33,42,0,0,0,0,0,0,23,209,
,Emerging Media (MA),4,1,1,0,0,0,0,0,0,0,0,0,0,6,
,Emerging Media (MPS),1,0,0,0,0,1,0,0,0,0,0,0,0,2,
,English (MA),10,4,7,0,1,1,0,0,0,1,0,0,0,24,
,English (NOD),0,2,0,0,0,0,0,0,0,0,0,0,0,2,
,Forensic Science (MS),17,3,8,0,3,0,0,0,0,1,0,0,0,32,
,"History (American, Global, Public) (MA)",9,1,2,0,12,2,0,0,0,0,0,0,2,28,
,Liberal Studies (MA),2,0,0,0,0,0,0,0,0,0,0,0,1,3,
,Liberal Studies - Online (MA),7,1,1,0,1,1,0,0,0,0,0,0,0,11,
,Mathematical Sciences (MS),8,1,8,0,1,6,1,0,0,0,0,0,0,25,
,Prevention Science (MS),2,1,2,0,0,0,0,0,0,0,0,0,0,5,
,Prevention Science (PHD),4,3,14,0,0,0,0,0,0,0,0,0,0,21,
,Psychology: Psychological Sciences (MA),31,7,10,0,1,1,0,0,0,0,0,0,0,50,
,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",2,0,0,0,0,1,0,0,0,0,0,0,0,3,
,Public Administration - Accelerated Degree BA/MPA (MPA),0,0,0,0,0,0,0,1,0,0,0,0,0,1,
,Public Administration - Dual MPA/MA Public Administration Criminal Justice (MPA),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
,Public Administration - On Campus (MPA),12,8,2,0,0,4,0,0,1,0,0,0,4,31,
,Public Administration - On Campus (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Affairs/Community Development (MS),7,0,1,0,1,1,0,0,0,0,0,0,1,11,
,Public Affairs/Community Development (PHD),8,1,0,0,6,10,0,0,0,0,0,1,4,30,
,Teacher Ed - Bilingual Education Certificate (NOD),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
,Teacher Ed - English as a Second Language (ESL) Certificate (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Ed - Supervisory Certificate (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Education (MAT),5,4,0,0,1,0,0,0,0,0,0,0,0,10,
,Teacher Education - Spanish (MAT),1,0,0,0,0,0,0,0,2,0,0,0,0,3,
,Total,368,185,421,1,93,102,2,1,4,5,1,7,65,1255,
