,,,,,,,,,,,,,,,,
,CMGR All Fall Apps by Program - 56,,,,,,,,,,,,,,,
,As of 2025-03-03 10:30:35 Eastern Standard Time/EST • Generated by Erick Udogu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,,
,Show: All contacts,,,,,,,,,,,,,,,
,Reporting: CU equals Camden,,,,,,,,,,,,,,,
,Reporting Term equals Fall 2025,,,,,,,,,,,,,,,
,School Name Formula equals The Graduate School - Camden,,,,,,,,,,,,,,,
,Type of Application equals Graduate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Admissions Status →,Started App,Submitted App,Complete App,In Review,Admit,Admit-Coming,Admit-Not Coming,Admit-Withdrawn,Deferred to Spring,Withdrawn,Conditional Admission,Alternative Admission,Denied,Total,
,Program Selection: Program Selection Name  ↑,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,
,Biology: Computational and Integrative (MS),11,4,18,0,1,5,0,0,0,0,0,0,1,40,
,Biology: Computational and Integrative (PHD),28,7,67,1,1,1,0,0,0,1,0,1,1,108,
,Biology (MS),17,6,5,0,19,14,0,0,0,1,0,0,3,65,
,Biology (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Bus and Sci - Comp and Info Sciences - Technology Management Cert (NOD) Camden,2,2,0,0,0,0,0,0,0,0,0,0,0,4,
,Business and Science - Computer and Information Sciences (MBS) Camden,7,5,3,0,4,3,0,1,0,0,0,0,1,24,
,Business and Science - Computer and Information Sciences (NOD) Camden,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry (MS),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry - Accelerated BA/MS (MS),1,1,0,0,0,0,0,0,0,0,0,0,0,2,
,Chemistry and Molecular Technology (MS),7,2,3,0,7,9,0,0,0,1,0,0,2,31,
,Childhood Studies (MA),4,1,4,0,0,0,0,0,0,0,0,0,0,9,
,Childhood Studies (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Childhood Studies (PHD),6,1,1,0,9,4,0,0,0,0,0,5,7,33,
,Computer Science: Scientific Computing (MS),48,66,4,0,34,21,0,0,0,0,1,0,69,243,
,Creative Writing (MFA) Camden,35,16,172,0,0,0,1,0,0,1,0,0,1,226,
,Criminal Justice (MA),15,6,1,0,1,3,0,0,1,0,1,0,0,28,
,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),3,1,0,0,0,0,0,0,0,0,0,0,0,4,
,Data Science (MS),44,40,21,0,48,56,0,0,0,0,0,0,39,248,
,Emerging Media (MA),3,3,1,0,0,0,0,0,0,0,0,0,0,7,
,Emerging Media (MPS),1,0,0,0,0,1,0,0,0,0,0,0,0,2,
,English (MA),12,2,9,0,1,1,0,0,0,1,0,0,0,26,
,English (NOD),0,2,0,0,0,0,0,0,0,0,0,0,0,2,
,Forensic Science (MS),20,4,8,0,3,0,0,0,0,1,0,0,2,38,
,"History (American, Global, Public) (MA)",11,3,5,0,20,3,0,0,0,0,0,0,2,44,
,Liberal Studies (MA),1,1,0,0,0,0,0,0,0,0,0,0,1,3,
,Liberal Studies - Online (MA),4,1,1,0,0,2,0,0,0,0,0,0,0,8,
,Mathematical Sciences (MS),6,3,1,0,7,9,1,0,0,0,0,0,0,27,
,Prevention Science (MS),1,2,5,0,0,0,0,0,0,0,0,0,0,8,
,Prevention Science (PHD),4,1,4,0,3,2,0,0,0,0,0,0,7,21,
,Psychology: Psychological Sciences (MA),33,9,17,0,1,1,0,0,0,0,0,0,0,61,
,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",2,0,0,0,0,1,0,0,0,0,0,0,0,3,
,Public Administration - Accelerated Degree BA/MPA (MPA),0,0,0,0,0,0,0,1,0,0,0,0,0,1,
,Public Administration - Dual MPA/MA Public Administration Criminal Justice (MPA),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Administration - On Campus (MPA),15,10,2,0,4,5,0,0,1,0,0,0,4,41,
,Public Administration - On Campus (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Affairs/Community Development (MS),7,0,2,0,1,1,0,0,0,0,0,0,1,12,
,Public Affairs/Community Development (PHD),8,1,0,0,5,12,0,0,0,0,0,0,4,30,
,Teacher Ed - Bilingual Education Certificate (NOD),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
,Teacher Ed - English as a Second Language (ESL) Certificate (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Ed - Supervisory Certificate (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Education (MAT),4,5,0,0,1,0,0,0,0,0,0,0,0,10,
,Teacher Education - Spanish (MAT),0,0,1,0,0,0,0,0,2,0,0,0,0,3,
,Total,366,209,356,1,170,154,2,2,4,6,2,6,145,1423,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Confidential Information - Do Not Distribute,,,,,,,,,,,,,,,
,"Copyright © 2000-2025 salesforce.com, inc. All rights reserved.",,,,,,,,,,,,,,,
