,,,,,,,,,,,,,,,
,CMGR All Fall Apps by Program - 56,,,,,,,,,,,,,,
,As of 2025-03-10 09:31:30 Eastern Standard Time/EST • Generated by Erick Udogu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,
,Show: All contacts,,,,,,,,,,,,,,
,Reporting: CU equals Camden,,,,,,,,,,,,,,
,Reporting Term equals Fall 2025,,,,,,,,,,,,,,
,School Name Formula equals The Graduate School - Camden,,,,,,,,,,,,,,
,Type of Application equals Graduate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Admissions Status →,Started App,Submitted App,Complete App,Admit,Admit-Coming,Admit-Not Coming,Admit-Withdrawn,Deferred to Spring,Withdrawn,Conditional Admission,Alternative Admission,Denied,Total,
,Program Selection: Program Selection Name  ↑,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,
,Biology: Computational and Integrative (MS),11,3,0,7,7,1,0,0,4,0,0,9,42,
,Biology: Computational and Integrative (PHD),28,3,0,7,8,0,3,0,1,0,37,22,109,
,Biology (MS),17,5,7,19,15,0,0,0,1,0,0,3,67,
,Biology (NOD),0,1,0,0,0,0,0,0,0,0,0,0,1,
,Bus and Sci - Comp and Info Sciences - Technology Management Cert (NOD) Camden,2,2,0,0,0,0,0,0,0,0,0,0,4,
,Business and Science - Computer and Information Sciences (MBS) Camden,6,5,1,6,4,0,1,0,0,0,0,1,24,
,Business and Science - Computer and Information Sciences (NOD) Camden,0,0,1,0,0,0,0,0,0,0,0,0,1,
,Chemistry (MS),1,0,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry - Accelerated BA/MS (MS),1,1,0,0,0,0,0,0,0,0,0,0,2,
,Chemistry and Molecular Technology (MS),7,2,1,7,12,0,0,0,1,0,0,2,32,
,Childhood Studies (MA),5,1,4,0,0,0,0,0,0,0,0,0,10,
,Childhood Studies (NOD),0,1,0,0,0,0,0,0,0,0,0,0,1,
,Childhood Studies (PHD),6,1,1,9,4,0,0,0,0,0,5,7,33,
,Computer Science: Scientific Computing (MS),48,60,17,33,22,0,0,0,0,1,0,69,250,
,Creative Writing (MFA) Camden,35,16,172,0,0,1,0,0,1,0,0,1,226,
,Criminal Justice (MA),14,6,1,1,4,0,0,1,0,1,0,0,28,
,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),3,1,0,0,0,0,0,0,0,0,0,0,4,
,Data Science (MS),44,45,32,46,58,0,1,0,1,0,0,39,266,
,Emerging Media (MA),4,3,1,0,0,0,0,0,0,0,0,0,8,
,Emerging Media (MPS),1,0,0,0,1,0,0,0,0,0,0,0,2,
,English (MA),10,2,9,1,1,0,0,0,1,0,0,0,24,
,English (NOD),0,2,0,0,0,0,0,0,0,0,0,0,2,
,Forensic Science (MS),20,4,6,4,2,0,0,0,1,0,0,2,39,
,"History (American, Global, Public) (MA)",11,3,6,23,3,0,0,0,0,0,0,2,48,
,Liberal Studies (MA),1,1,0,0,0,0,0,0,0,0,0,1,3,
,Liberal Studies - Online (MA),1,1,1,0,2,0,0,0,0,0,0,0,5,
,Mathematical Sciences (MS),4,1,3,6,10,1,0,0,0,0,0,0,25,
,Prevention Science (MS),1,1,6,0,0,0,0,0,0,0,0,0,8,
,Prevention Science (PHD),4,1,4,2,3,0,0,0,0,0,0,7,21,
,Psychology: Psychological Sciences (MA),32,8,18,1,1,0,0,0,0,0,0,0,60,
,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",2,1,0,0,1,0,0,0,0,0,0,0,4,
,Public Administration - Accelerated Degree BA/MPA (MPA),0,0,0,0,0,0,1,0,0,0,0,0,1,
,Public Administration - Dual MPA/MA Public Administration Criminal Justice (MPA),1,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Administration - On Campus (MPA),15,10,3,4,6,0,0,1,0,0,0,4,43,
,Public Administration - On Campus (NOD),1,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Affairs/Community Development (MS),7,0,2,1,1,0,0,0,0,0,0,1,12,
,Public Affairs/Community Development (PHD),8,1,0,5,12,0,0,0,0,0,0,4,30,
,Teacher Ed - Bilingual Education Certificate (NOD),2,0,0,0,0,0,0,0,0,0,0,0,2,
,Teacher Ed - English as a Second Language (ESL) Certificate (NOD),1,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Ed - Supervisory Certificate (NOD),0,1,0,0,0,0,0,0,0,0,0,0,1,
,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",0,1,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Education (MAT),3,5,0,2,0,0,0,0,0,0,0,0,10,
,Teacher Education - Spanish (MAT),0,0,1,0,0,0,0,2,0,0,0,0,3,
,Total,357,199,297,184,177,3,6,4,11,2,42,174,1456,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Confidential Information - Do Not Distribute,,,,,,,,,,,,,,
,"Copyright © 2000-2025 salesforce.com, inc. All rights reserved.",,,,,,,,,,,,,,
