,,,,,,,,,,,,,,,,,
,CMGR All Fall Apps by Program - 56,,,,,,,,,,,,,,,,
,As of 2025-04-07 10:08:56 Eastern Standard Time/EST • Generated by Erick Udogu,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,,,
,Show: All contacts,,,,,,,,,,,,,,,,
,Reporting: CU equals Camden,,,,,,,,,,,,,,,,
,Reporting Term equals Fall 2025,,,,,,,,,,,,,,,,
,School Name Formula equals The Graduate School - Camden,,,,,,,,,,,,,,,,
,Type of Application equals Graduate,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Admissions Status →,Started App,Submitted App,Complete App,Admit,Admit-Coming,Admit-Not Coming,Admit-Withdrawn,Deferred to Fall,Deferred to Spring,Withdrawn,Waitlisted,Conditional Admission,Alternative Admission,Denied,Total,
,Program Selection: Program Selection Name  ↑,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,Record Count,
,Biology: Computational and Integrative (MS),13,3,4,17,14,1,3,0,0,4,0,0,0,12,71,
,Biology: Computational and Integrative (PHD),28,3,0,1,12,1,8,1,0,1,0,0,32,22,109,
,Biology (MS),19,4,3,51,29,0,3,0,0,1,0,0,0,3,113,
,Biology (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Bus and Sci - Comp and Info Sciences - Technology Management Cert (NOD) Camden,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,
,Business and Science - Computer and Information Sciences (MBS) Camden,7,6,1,4,6,0,2,0,0,0,0,0,0,2,28,
,Business and Science - Computer and Information Sciences (NOD) Camden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry (MS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Chemistry - Accelerated BA/MS (MS),1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,
,Chemistry and Molecular Technology (MS),7,2,14,7,14,0,0,0,0,1,0,0,0,2,47,
,Childhood Studies (MA),4,1,10,1,3,0,0,0,0,0,0,0,0,0,19,
,Childhood Studies (NOD),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Childhood Studies (PHD),6,1,2,6,5,0,2,1,0,0,0,0,4,7,34,
,Computer Science: Scientific Computing (MS),53,55,1,32,26,0,0,0,0,0,0,1,0,92,260,
,Creative Writing (MFA) Camden,35,0,0,8,0,1,1,1,0,1,20,0,0,159,226,
,Criminal Justice (MA),18,5,1,4,5,0,0,0,1,0,0,1,0,3,38,
,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,
,Data Science (MS),40,33,6,63,66,0,1,0,0,3,0,0,0,64,276,
,Emerging Media (MA),5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,
,Emerging Media (MPS),1,0,3,0,1,0,0,0,0,0,0,0,0,0,5,
,English (MA),11,2,26,1,1,0,0,0,0,1,0,0,0,0,42,
,English (NOD),0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
,Forensic Science (MS),22,5,8,6,5,0,0,1,0,1,0,0,0,7,55,
,"History (American, Global, Public) (MA)",11,1,6,22,11,0,0,0,0,0,0,0,0,4,55,
,Liberal Studies (MA),1,0,0,1,0,0,0,0,0,1,0,0,0,1,4,
,Liberal Studies - Online (MA),3,2,3,0,2,0,0,0,0,2,0,0,0,0,12,
,Mathematical Sciences (MS),4,0,0,12,9,2,0,0,0,0,0,0,0,0,27,
,Prevention Science (MS),1,1,8,2,0,0,0,0,0,0,0,0,0,3,15,
,Prevention Science (PHD),3,0,1,0,6,0,0,0,0,1,0,0,0,9,20,
,Psychology: Psychological Sciences (MA),29,9,49,0,0,1,1,0,0,0,0,0,0,0,89,
,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",2,1,1,0,1,0,0,0,0,0,0,0,0,0,5,
,Public Administration - Accelerated Degree BA/MPA (MPA),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
,Public Administration - Dual MPA/MA Public Administration Criminal Justice (MPA),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Administration - On Campus (MPA),14,8,3,5,9,0,2,0,1,0,0,0,0,5,47,
,Public Administration - On Campus (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Public Affairs/Community Development (MS),7,0,24,1,1,0,0,0,0,0,0,0,0,1,34,
,Public Affairs/Community Development (PHD),8,1,0,3,13,0,0,1,0,0,0,0,0,4,30,
,Teacher Ed - Bilingual Education Certificate (NOD),2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
,Teacher Ed - English as a Second Language (ESL) Certificate (NOD),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Ed - Supervisory Certificate (NOD),1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
,Teacher Education (MAT),7,4,1,1,1,0,0,0,0,0,0,0,0,0,14,
,Teacher Education - Spanish (MAT),1,0,0,1,0,0,0,0,2,0,0,0,0,0,4,
,Total,372,160,177,249,241,6,24,5,4,17,20,2,36,400,1713,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Confidential Information - Do Not Distribute,,,,,,,,,,,,,,,,
,"Copyright © 2000-2025 salesforce.com, inc. All rights reserved.",,,,,,,,,,,,,,,,
