Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Phila,Pennsylvania,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
York,Pennsylvania,United States,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Jacksonville,Florida,United States,Fall 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Fort Worth,Texas,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
East Boston,MA,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Knoxville,Tennessee,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Washington,Washington,United States,Fall 2022,Criminal Justice (MA),Started App,Did Not A/C
Sodus,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
N Arlington,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Eastampton Township,New Jersey,United States,Summer 2022,Teacher Education (MAT),Admit-Coming,A/C
Pemberton,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Farmingville,New York,United States,Fall 2022,Criminal Justice (MA),Withdrawn,Did Not A/C
Knoxville,Tennessee,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Yardley,Pennsylvania,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Boston,Massachusetts,United States of America,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Oakland,California,United States,Fall 2022,Creative Writing (MFA) Camden,Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2022,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Medford,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Vineland,New Jersey,United States,Fall 2022,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Bellmawr,New Jersey,United States,Fall 2022,Biology (MS),Denied,Did Not A/C
Haddon Township,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Mt. Laurel,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Gulfport,Mississippi,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Ewing,New Jersey,United States,Fall 2022,Public Affairs/Community Development (MS),Denied,Did Not A/C
Greenacres,Washington,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Haddon Township,New Jersey,United States,Summer 2022,Teacher Education (MAT),Admit-Coming,A/C
New York,New York,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Winterville,North Carolina,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
San Jose,California,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States,Summer 2022,Business and Science - Computer and Information Sciences (MBS) Camden,Withdrawn,Did Not A/C
Lebanon,New Jersey,United States,Fall 2022,Criminal Justice (NOD),Withdrawn,Did Not A/C
Cinnaminson,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Kendell park,New Jersey,United States of America,Spring 2023,Data Science (MS),Withdrawn,Did Not A/C
Somerset,New Jersey,United States,Spring 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Maple Shade,New Jersey,United States of America,Fall 2022,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Coming,A/C
Potomac,Maryland,United States,Fall 2022,"History (American, Global, Public) (MA)",Started App,Did Not A/C
