Program,Started App,Submitted App,Complete App,Admit,Admit-Coming,Admit-Withdrawn,Deferred to Fall,Withdrawn,Denied,Total
Biology,11,18,3,4,9,1,0,0,2,48
Business and Science,5,0,3,0,2,0,0,0,0,10
Chemistry,4,5,6,0,0,0,1,0,0,16
Childhood Studies,6,3,1,1,1,0,0,0,0,12
Computer Science,27,36,24,2,6,0,0,0,21,116
Criminal Justice,7,6,1,2,0,0,0,0,3,19
Data Science,33,34,8,20,17,0,0,0,24,136
Emerging Media,5,3,1,0,1,0,0,0,0,10
English,2,5,0,0,0,0,0,0,0,7
Forensic Science,3,12,3,0,0,0,0,0,0,18
"History (American, Global, Public)",1,2,2,1,0,0,0,0,0,6
Liberal Studies,8,1,1,1,4,0,0,1,0,16
Mathematical Sciences,2,5,0,0,3,0,1,0,0,11
Prevention Science,1,1,1,0,0,0,0,0,0,3
Psychology - Accelerated Degree BA/MA,1,0,0,0,0,0,0,0,0,1
Public Administration,13,9,0,2,2,0,0,0,1,27
Teacher Ed,2,2,0,0,1,0,0,0,0,5
Teacher Education ,6,4,1,3,2,0,0,0,0,16
