CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
Tyler,Texas,75707-2390,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tulsa,Oklahoma,74135,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Marietta,Georgia,30062,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chicago,Illinois,60615,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albany,New York,12207-2441,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Raleigh,North Carolina,27607-5435,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Woolwich Township,New Jersey,08085,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hannibal,Missouri,63401,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sylvan Lake,Michigan,48320,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Philadelphia,Pennsylvania,19139,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Clinton,New Jersey,08809,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Leesburg,Virginia,20176,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Murfreesboro,Tennessee,37129-5468,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Folly Beach,South Carolina,29439,GRE/PhD,Grad Application,RUC Grad Program List,Letter
La Grange,Kentucky,40031,GRE/PhD,Grad Application,RUC Grad Program List,Letter
York,Pennsylvania,17403,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Berkeley,California,94704-2825,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Depew,New York,14043,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Metairie,Louisiana,70005,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Harrison,Tennessee,37341,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Princeton, ,08541,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Merced,California,95341,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Austin,Texas,78738,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ypsilanti,Michigan,48197,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Katy,Texas,77494,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gainesville,Florida,32603-1759,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Leachville,Arkansas,72438,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ann Arbor,Michigan,48104-3345,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Warren,New Jersey,07059,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bowling Green,Ohio,43402-3468,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cerritos,California,90703-6238,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cross Lanes,West Virginia,25313,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rexburg,Idaho,83440,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sioux City,Iowa,51104-1459,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wylie,Texas,75098,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wake Forest,North Carolina,27587,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Goldsboro,North Carolina,27530,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cypress,Texas,77433,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chicago,Illinois,60646,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rolling Meadows,Illinois,60008,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Boca Raton,Florida,33432,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Westlake,Ohio,44145,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albany,New York,12211,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Augustine,Florida,32095-8537,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Carolina,Rhode Island,02812,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ann Arbor,Michigan,48104,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Raleigh,North Carolina,27606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mission Viejo,California,92692,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gilbert,West Virginia,25621-1552,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atchison,Kansas,66002,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bellmore,New York,11710,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Potsdam,New York,13676,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mars,Pennsylvania,16046,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bloomsburg,Pennsylvania,17815,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Grand Junction,Colorado,81501-4683,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Glen Morgan,West Virginia,25813,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Collinsville,Mississippi,39325,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chicago,Illinois,60613-1988,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Perry,Michigan,48872,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Comstock,Nebraska,68828,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Minneapolis,Minnesota,55414,GRE/PhD,Grad Application,RUC Grad Program List,Letter
King Of Prussia,Pennsylvania,19406,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Alexandria,Virginia,22314,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Laurel,Maryland,20723,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Horseheads,New York,14845,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rochester Hills,Michigan,48306,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Purcell,Oklahoma,73080,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Blairstown,New Jersey,07825,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Langhorne,Pennsylvania,19047,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Scotia,New York,12302,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Irvine,California,92606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lithia,Florida,33547,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rockford,Illinois,61107,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pleasant Hope,Missouri,65725,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atlanta,Georgia,30324-5679,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tuscaloosa,Alabama,35405-1671,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hays,Kansas,67601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Provo,Utah,84606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
