Program,Female,Male
Biology,62.00%,38.00%
Biology: Computational and Integrative,60.78%,39.22%
Business and Science,40.00%,60.00%
Chemistry,50.00%,50.00%
Childhood Studies,79.17%,20.83%
Computer Science,32.61%,67.39%
Creative Writing,79.17%,20.83%
Criminal Justice,80.65%,19.35%
Criminal Justice/Public Administration,33.33%,66.67%
Data Science,32.86%,67.14%
Emerging Media,40.00%,60.00%
English,78.95%,21.05%
Forensic Science,75.00%,25.00%
History,57.89%,42.11%
Liberal Studies,52.05%,47.95%
Mathematical Sciences,30.43%,69.57%
Prevention Science,77.42%,22.58%
Psychology,68.57%,31.43%
Public Administration,64.95%,35.05%
Public Affairs,44.44%,55.56%
Teacher Education,83.02%,16.98%
Teacher Education - Spanish,86.36%,13.64%
Grand Total,61.37%,38.63%
