ID,Degree Type,Final Recommended Decision,Domestic or INTL Applicant,Reporting Term,Age When Applied,Gender,Mailing City,Mailing State/Province,Mailing Country,SS Minimum Grade Last Year (Alpha),How did you hear about this program?,How did you hear about us Other,Military Status,First Generation,Created Date,Race,Current Rutgers uGrad Student,Current Rutgers Employee,Rutgers Graduate/Alumni,Parent/Legal Guardian Employed by RU,Parent Grandparent Rutgers Grad,Program Selection: Program Selection Name,Admissions Status
70005,"Master's (e.g. MA, MS, EdM, MFA)",,International,Spring 2022,27,Male,Haridwar,Uttarakhand,India,,Web Initiative (Google Search),,,,10/24/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
9618,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2022,25,Male,Saptakoshi,Pradesh 2,Nepal,,Web Initiative (Google Search),,,,12/7/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
4226,"Master's (e.g. MA, MS, EdM, MFA)",,International,Spring 2022,25,Female,Tirupathi,Andhra Pradesh,India,,Other/Unknown,Google,,,9/25/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
7929,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2022,23,Female,Ahmedabad,Gujarat,India,,Referral - Alumni,,,,1/2/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
9368,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2023,29,Male,Vijayawada,Andhra Pradesh,India,,Event Email,,,,3/11/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
1323,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2022,24,Male,Cedar Grove,New Jersey,United States,,Web Initiative (Google Search),,,,3/15/22,Asian,Yes,No,,,0,Biology: Computational and Integrative (MS),Started App
3182,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Spring 2024,31,Male,Watertown,Connecticut,United States,,Referral - Instructor,,No,,4/28/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
4295,"Master's (e.g. MA, MS, EdM, MFA)",,International,Spring 2023,32,Male,ENUGU,ENUGU,Nigeria,,Referral - Alumni,,,,4/20/22,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Started App
9554,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Spring 2023,35,Male,Toms River,New Jersey,United States,,Referral - Instructor,,,,4/20/22,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Started App
5833,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2023,28,Male,Morganville,New Jersey,United States,,Web Initiative (Google Search),,,,5/9/22,White,No,No,,,0,Biology: Computational and Integrative (MS),Started App
8831,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2023,33,Male,Sagamu,Ogun state,Nigeria,,Web Initiative (Google Search),,,,7/4/22,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Started App
4670,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2023,24,Male,Hyderabad,Telangana,India,,Web Initiative (Google Search),,,,9/11/22,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
1248,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2023,27,Female,Buckeye,Arizona,United States,,Web Initiative (Google Search),,No,,10/26/22,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
7054,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Spring 2023,29,Male,Milltown,New Jersey,United States,,Web-Rutgers Graduate Admissions Page,,,,11/9/22,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
6591,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2023,23,Female,Cumming,Georgia,United States,,College/Career Fair,,,,11/21/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
3058,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2023,24,Male,GURGAON,HARYANA,India,,Other/Unknown,,No,,12/14/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
3999,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2024,25,Male,Pittsburgh,Pennsylvania,United States of America,,Web Initiative (Google Search),,No,,10/12/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
9057,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2024,25,Male,Tunkhannock,Pennsylvania,United States of America,,Web-Rutgers Graduate Admissions Page,,No,,11/6/23,White,No,No,,,0,Biology: Computational and Integrative (MS),Started App
6332,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,25,Female,Mumbai,Maharashtra,India,,Web Initiative (Google Search),,No,,11/7/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
9251,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,25,Male,aaa,,China,,Web-Program Site,,No,,11/15/23,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
1208,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2024,22,Male,Dayton,New Jersey,United States of America,,,,No,,11/26/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
2703,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,25,Male,Dhaka,Dhaka,Bangladesh,,Social Media - Twitter,,No,,12/22/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
4320,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,26,Female,Jodhpur,Rajasthan,India,,Ad,,No,,1/19/24,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Started App
6950,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,23,Male,San Diego,California,United States of America,,Web Initiative (Google Search),,No,,2/3/24,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
7169,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,36,Female,Ibadan,Oyo state,Nigeria,,Web-Program Site,,No,,2/12/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Started App
4650,"Master's (e.g. MA, MS, EdM, MFA)",,Domestic,Fall 2024,23,Male,Flemington,NJ,United States of America,,Web-Rutgers Graduate Admissions Page,,No,,3/31/24,Asian,Yes,No,,,0,Biology: Computational and Integrative (MS),Started App
6867,"Master's (e.g. MA, MS, EdM, MFA)",,International,Fall 2024,31,Female,L'hospitalet de Llobregat,Barcelona,Spain,,Rutgers Employee,,No,,4/7/24,,No,No,,,0,Biology: Computational and Integrative (MS),Started App
5618,"Master's (e.g. MA, MS, EdM, MFA)",,International,Spring 2025,25,Female,Ilorin,Kwara,Nigeria,,Other/Unknown,Word of mouth,No,,6/22/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Submitted App
2787,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2022,24,Male,Sparta,New Jersey,United States,,College/Career Fair,,,,10/10/21,White,Yes,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
7802,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,25,Female,Camden,New Jersey,United States of America,,Rutgers Employee,,,,3/9/22,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
4169,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,26,Male,Bhubaneswar,Odisha,India,,Event Email,,,,3/9/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
2606,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,32,Male,Howrah,West Bengal,India,,Web Initiative (Google Search),,No,,5/18/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
8395,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,27,Male,Plainfield,NJ,United States of America,,Ad,,No,,4/25/23,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
4011,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,34,Female,Dhaka,,Bangladesh,,Other/Unknown,Relative,No,,4/26/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
8762,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,33,Female,Camden,NJ,United States of America,,Referral - Instructor,,No,,4/26/23,Hispanic or Latino,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
3139,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,28,Male,Camden,NJ,United States of America,,Web-Program Site,,No,,4/27/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
180,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2024,27,Female,Dhaka,Dhaka,Bangladesh,,Web Initiative (Google Search),,No,,5/10/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
1508,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2023,23,Female,Falls,Pennsylvania,United States of America,,Referral - Instructor,,,,11/22/22,White,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
1911,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2023,27,Male,Cherry Hill,New Jersey,United States of America,,Referral - Instructor,,No,,12/9/22,White,Yes,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
5396,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,22,Female,Phila,Pennsylvania,United States of America,,Other/Unknown,From the Philadelphia area so I have always known of Rutgers,No,,9/29/23,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
8688,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,25,Female,Brooklyn,New York,United States of America,,Web-Program Site,,No,,1/10/24,White,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
9564,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2024,23,Female,Austin,Texas,United States of America,,Web Initiative (Google Search),,No,,2/13/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
4850,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,25,Female,Camden,NJ,United States of America,,Rutgers Employee,,No,,4/8/24,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
6193,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,26,Female,Somerville,Massachusetts,United States of America,,Web-Program Site,,No,,4/16/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
4617,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2024,47,Male,Embu,Embu,Kenya,,Web-Rutgers Graduate Admissions Page,,No,,5/20/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Coming
1757,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,25,Female,Vadodara,Gujarat,India,,Rutgers Employee,,,,3/9/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
4981,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,29,Male,Morgantown,West Virginia,United States of America,,College/Career Fair,,No,,4/25/23,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
3838,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,28,Male,Dhaka,Dhaka Division,Bangladesh,,Web-Program Site,,No,,4/26/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
1265,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,29,Female,Isfahan,Isfahan,Iran,,Web-Program Site,,No,,4/27/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
2093,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,42,Female,Agbara,Ogun,Nigeria,,Web Initiative (Google Search),,No,,4/28/23,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
815,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,27,Male,Delhi,Delhi,India,,Social Media - LinkedIn,,,,4/27/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
2778,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,37,Female,Jaipur,Rajasthan,India,,Web Initiative (Google Search),,,,5/5/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
2413,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,29,Male,Kolkata,West Bengal,India,,Web-Program Site,,,,5/11/22,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
3365,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,28,Male,Rohtak,Haryana,India,,Social Media - LinkedIn,,,,8/2/22,,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
7852,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,23,Female,Huntingdon,Pennsylvania,United States of America,,Referral - Instructor,,No,,2/4/23,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
5279,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2023,26,Male,Richmond,Indiana,United States of America,,Web-Program Site,,No,,2/21/23,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
2688,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,23,Male,Seattle,Washington,United States of America,,Web-Program Site,,No,,10/5/23,,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
2579,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2024,29,Male,Abuja,Federal Capital Territory,Nigeria,,Web Initiative (Google Search),,No,,3/18/24,Black or African American,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
1243,"Master's (e.g. MA, MS, EdM, MFA)",Admit,Domestic,Fall 2024,21,Male,Sewell,New Jersey,United States of America,,Ad,,No,N,5/10/24,Asian; White,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Not Coming
4733,"Master's (e.g. MA, MS, EdM, MFA)",Conditional Admit,International,Spring 2022,26,Female,Worcester,MA,United States,,Event Email,,,,8/30/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Withdrawn
7638,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,24,Female,Hyderabad,Telangana,INDIA,,Web-Program Site,,,,9/3/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Withdrawn
1303,"Master's (e.g. MA, MS, EdM, MFA)",Admit,International,Fall 2022,24,Male,Chennai,Tamil Nadu,India,,Web Initiative (Google Search),,,,10/11/21,Asian,No,No,,,0,Biology: Computational and Integrative (MS),Admit-Withdrawn
